keyword,clean_brand
AMAZON,AMAZON
MICROSOFT,MICROSOFT
GOOGLE,GOOGLE
FACEBOOK,META
META,META
APPLE,APPLE
INFOSYS,INFOSYS
TATA CONSULTANCY,TCS
COGNIZANT,COGNIZANT
WIPRO,WIPRO
DELOITTE,DELOITTE
HCL,HCL
CISCO,CISCO
JP MORGAN,JPMORGAN CHASE
NVIDIA,NVIDIA
IBM,IBM
TESLA,TESLA
ERNST YOUNG,EY
ERNST AND YOUNG,EY
EY, EY
SAP,SAP
ORACLE,ORACLE
INTEL,INTEL
ACCENTURE,ACCENTURE
WALMART,WALMART
WAL-MART,WALMART
WAL MART,WALMART
SALESFORCE,SALESFORCE
TECH MAHINDRA,TECH MAHINDRA
COMPUNNEL,COMPUNNEL
FIDELITY,FIDELITY
QUALCOMM,QUALCOMM
BYTEDANCE,BYTEDANCE
TIKTOK,BYTEDANCE
PWC,PWC
LINKEDIN,LINKEDIN
PAYPAL,PAYPAL
CITIBANK,CITI
ADOBE,ADOBE
BLOOMBERG,BLOOMBERG
MORGAN STANLEY,MORGAN STANLEY
AMERICAN EXPRESS,AMERICAN EXPRESS
GOLDMAN SACHS,GOLDMAN SACHS
JPMORGAN CHASE AND CO,JPMORGAN CHASE
JPMORGAN CHASE CO,JPMORGAN CHASE
CAPGEMINI AMERICA,CAPGEMINI
CGI TECHNOLOGIES AND SOLUTIONS,CGI
FORD MOTOR COMPANY,FORD
THE LELAND STANFORD JR UNIVERSITY,STANFORD
VIRTUSA CORPORATION,VIRTUSA
CAPITAL ONE SERVICES,CAPITAL ONE
MCKINSEY AND COMPANY INC UNITED ST,MCKINSEY
MCKINSEY COMPANY INC UNITED STATES,MCKINSEY
MCKINSEY AND COMPANY INC UNITED STATES,MCKINSEY
BANK OF AMERICA N A,BANK OF AMERICA
BANK OF AMERICA NA,BANK OF AMERICA
U S BANK NATIONAL ASSOCIATION,U.S. BANK
US BANK NATIONAL ASSOCIATION,U.S. BANK
L T TECHNOLOGY SERVICES,L&T TECHNOLOGY
L AND T TECHNOLOGY SERVICES,L&T TECHNOLOGY
ADVANCED MICRO DEVICES,AMD
WELLS FARGO BANK N A,WELLS FARGO
VISA TECHNOLOGY AND OPERATIONS,VISA
CHARLES SCHWAB AND COMPANY,CHARLES SCHWAB
